state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
IN,smoothed_cli,2020-04-10,2020-09-03,146,1.0118357,0.0509495,28268.0215,state,fb-survey
KS,smoothed_cli,2020-04-10,2020-09-03,146,0.822056,0.0696333,12590.7744,state,fb-survey
KY,smoothed_cli,2020-04-10,2020-09-03,146,0.7800539,0.0528825,19360.9345,state,fb-survey
LA,smoothed_cli,2020-04-10,2020-09-03,146,0.9321695,0.064129,16089.546,state,fb-survey
MA,smoothed_cli,2020-04-10,2020-09-03,146,0.6634609,0.0438836,25204.066,state,fb-survey
MD,smoothed_cli,2020-04-10,2020-09-03,146,0.5796114,0.0439541,21633.942,state,fb-survey
ME,smoothed_cli,2020-04-10,2020-09-03,146,0.9588625,0.1074273,6204.4468,state,fb-survey
MI,smoothed_cli,2020-04-10,2020-09-03,146,0.9061387,0.0454796,32742.0687,state,fb-survey
MN,smoothed_cli,2020-04-10,2020-09-03,146,0.8225485,0.0537331,21266.5943,state,fb-survey
MO,smoothed_cli,2020-04-10,2020-09-03,146,0.7784841,0.047583,25522.5447,state,fb-survey
MS,smoothed_cli,2020-04-10,2020-09-03,146,0.8188361,0.0741441,10492.8004,state,fb-survey
MT,smoothed_cli,2020-04-10,2020-09-03,146,0.9640387,0.1297434,4626.1975,state,fb-survey
NC,smoothed_cli,2020-04-10,2020-09-03,146,0.6819868,0.0451409,24817.0181,state,fb-survey
ND,smoothed_cli,2020-04-10,2020-09-03,146,0.6061258,0.1203935,2957.8834,state,fb-survey
NE,smoothed_cli,2020-04-10,2020-09-03,146,0.9973389,0.1019007,7395.261,state,fb-survey
NH,smoothed_cli,2020-04-10,2020-09-03,146,0.7409287,0.0921229,6177.5532,state,fb-survey
NJ,smoothed_cli,2020-04-10,2020-09-03,146,1.1105721,0.0555185,25995.9847,state,fb-survey
NM,smoothed_cli,2020-04-10,2020-09-03,146,0.5659422,0.0715904,7808.0178,state,fb-survey
NV,smoothed_cli,2020-04-10,2020-09-03,146,0.8466279,0.073564,11595.9125,state,fb-survey
NY,smoothed_cli,2020-04-10,2020-09-03,146,1.5609675,0.0716918,22426.0021,state,fb-survey
OH,smoothed_cli,2020-04-10,2020-09-03,146,0.7841954,0.0437202,29487.008,state,fb-survey
OK,smoothed_cli,2020-04-10,2020-09-03,146,0.9955327,0.0669834,16240.908,state,fb-survey
OR,smoothed_cli,2020-04-10,2020-09-03,146,1.0343997,0.0662356,17694.3196,state,fb-survey
PA,smoothed_cli,2020-04-10,2020-09-03,146,0.6877231,0.0398673,32614.0234,state,fb-survey
RI,smoothed_cli,2020-04-10,2020-09-03,146,0.6641298,0.1074703,4281.934,state,fb-survey
SC,smoothed_cli,2020-04-10,2020-09-03,146,0.7380946,0.0513856,20510.0161,state,fb-survey
SD,smoothed_cli,2020-04-10,2020-09-03,146,1.0252103,0.1497193,3427.7738,state,fb-survey
TN,smoothed_cli,2020-04-10,2020-09-03,146,0.8241907,0.049515,24925.0042,state,fb-survey
TX,smoothed_cli,2020-04-10,2020-09-03,146,0.7445358,0.047679,23670.503,state,fb-survey
UT,smoothed_cli,2020-04-10,2020-09-03,146,0.9018499,0.072356,12013.5983,state,fb-survey
VA,smoothed_cli,2020-04-10,2020-09-03,146,0.6473881,0.0409186,27592.5816,state,fb-survey
VT,smoothed_cli,2020-04-10,2020-09-03,146,0.8089617,0.1524914,2799.0025,state,fb-survey
WA,smoothed_cli,2020-04-10,2020-09-03,146,0.7377381,0.0432953,28517.7256,state,fb-survey
WI,smoothed_cli,2020-04-10,2020-09-03,146,0.8042664,0.0501211,24084.9449,state,fb-survey
WV,smoothed_cli,2020-04-10,2020-09-03,146,0.7024593,0.0761272,8936.0885,state,fb-survey
WY,smoothed_cli,2020-04-10,2020-09-03,146,1.131788,0.1841118,2478.5076,state,fb-survey
AK,smoothed_cli,2020-04-11,2020-09-03,145,0.8513196,0.1524431,2813,state,fb-survey
AL,smoothed_cli,2020-04-11,2020-09-03,145,0.7908294,0.0561936,18823.3907,state,fb-survey
AR,smoothed_cli,2020-04-11,2020-09-03,145,0.9245362,0.0772991,11803.7563,state,fb-survey
AZ,smoothed_cli,2020-04-11,2020-09-03,145,0.9191892,0.0521029,25255.5066,state,fb-survey
CA,smoothed_cli,2020-04-11,2020-09-03,145,0.7108292,0.0478679,23597.3622,state,fb-survey
CO,smoothed_cli,2020-04-11,2020-09-03,145,1.2419254,0.0603589,25501.238,state,fb-survey
CT,smoothed_cli,2020-04-11,2020-09-03,145,0.85591,0.0674994,13622,state,fb-survey
